ts,P>1_mean,P>1_max,P>5_mean,P>5_max,P>10_mean,P>10_max,P>30_mean,P>30_max,P>50_mean,P>50_max,P>100_mean,P>100_max,E>0.8_mean,E>0.8_max,E>2.0_mean,E>2.0_max,Year,Month,Day,Hour,Speed,Density,Radio Flux 10.7,група
2017-08-28 00:00:00,9.778333,19.4,0.32491666,0.69,0.19291668,0.314,0.098850004,0.224,0.077583335,0.178,0.040691666,0.0793,20941.666,23600.0,1011.5833,1180.0,2017,8,28,0,285.0,3.0,82.0,тиха
2017-08-28 01:00:00,7.994167,13.6,0.29166666,0.512,0.15658334,0.259,0.07258333,0.0919,0.0587,0.0798,0.02995,0.0471,18091.666,20600.0,713.0,907.0,2017,8,28,1,305.0,3.4,,тиха
2017-08-28 02:00:00,6.099167,10.8,0.283,0.479,0.17766666,0.321,0.08445,0.121,0.06964167,0.111,0.035025,0.0595,14108.333,15000.0,380.83334,475.0,2017,8,28,2,309.0,1.7,,тиха
2017-08-28 03:00:00,4.7525,7.76,0.23683333,0.329,0.16633333,0.244,0.08765834,0.18,0.06809167,0.139,0.035516668,0.0818,12766.667,13100.0,267.91666,284.0,2017,8,28,3,304.0,2.0,,тиха
2017-08-28 04:00:00,4.1583333,6.62,0.33491668,0.539,0.20833333,0.309,0.084800005,0.153,0.07285,0.142,0.039708335,0.0694,11333.333,12300.0,203.0,234.0,2017,8,28,4,302.0,2.3,,тиха
2017-08-28 05:00:00,2.9041665,4.62,0.24033333,0.41,0.16683334,0.284,0.07729167,0.114,0.06369167,0.0932,0.03488333,0.0669,9685.833,10700.0,152.41667,180.0,2017,8,28,5,304.0,2.4,,тиха
2017-08-28 06:00:00,3.4216669,4.94,0.28191665,0.43,0.16341667,0.249,0.08384166,0.116,0.066991664,0.106,0.037583333,0.0818,8650.0,9200.0,127.916664,137.0,2017,8,28,6,319.0,3.2,,тиха
2017-08-28 07:00:00,2.9783335,3.93,0.32458332,0.601,0.19666667,0.316,0.10028333,0.165,0.07681667,0.155,0.039333332,0.0769,6424.1665,7600.0,95.49167,110.0,2017,8,28,7,319.0,2.8,,тиха
2017-08-28 08:00:00,2.6116667,3.96,0.30233333,0.495,0.18775,0.28,0.09535,0.219,0.07446667,0.138,0.037683334,0.062,4602.5,5210.0,70.01667,79.8,2017,8,28,8,319.0,3.2,,тиха
2017-08-28 09:00:00,2.5541668,3.98,0.29366666,0.608,0.17958333,0.258,0.09655833,0.136,0.07619167,0.109,0.03883333,0.0595,4761.6665,4960.0,82.34167,89.6,2017,8,28,9,306.0,4.0,,тиха
2017-08-28 10:00:00,2.3875,3.32,0.29908332,0.491,0.19283332,0.407,0.09742501,0.141,0.067433335,0.106,0.03839167,0.0744,4598.3335,4950.0,89.700005,108.0,2017,8,28,10,305.0,4.0,,тиха
2017-08-28 11:00:00,2.3833334,3.16,0.28758332,0.459,0.17291667,0.326,0.08349166,0.141,0.063941665,0.102,0.031691667,0.0645,5865.8335,7240.0,124.833336,156.0,2017,8,28,11,307.0,3.3,,тиха
2017-08-28 12:00:00,2.5125,3.92,0.25375,0.418,0.16775,0.257,0.092883326,0.128,0.070075,0.0962,0.040433332,0.0719,9123.333,11000.0,208.41667,246.0,2017,8,28,12,303.0,2.9,,тиха
2017-08-28 13:00:00,3.2541666,4.92,0.30608335,0.671,0.17525,0.358,0.08556667,0.15,0.062366664,0.0892,0.030258333,0.0491,12200.0,13000.0,264.33334,271.0,2017,8,28,13,306.0,2.8,,тиха
2017-08-28 14:00:00,2.59,3.28,0.2445,0.373,0.19325,0.334,0.11379167,0.274,0.09004167,0.184,0.04893333,0.0823,13875.0,14300.0,303.16666,323.0,2017,8,28,14,294.0,3.2,,тиха
2017-08-28 15:00:00,3.0933332,4.32,0.2929167,0.431,0.198,0.338,0.089841664,0.153,0.06795833,0.143,0.035875,0.062,15925.0,17000.0,406.25,478.0,2017,8,28,15,303.0,2.0,,тиха
2017-08-28 16:00:00,3.6166668,5.11,0.3065,0.524,0.20075,0.363,0.10075834,0.161,0.0772,0.125,0.044524997,0.0769,18016.666,18800.0,557.0,599.0,2017,8,28,16,307.0,1.5,,тиха
